,charge,label
1143,2.4019911,Standard
1144,1.8172201,Standard
1145,0.5574544,Standard
1146,0.9977214,Standard
1147,3.3389485,Standard
1148,1.457628,Standard
1149,3.5904677,Standard
1150,1.7771268,Standard
1151,2.3832464,Standard
1152,3.9656847,Standard
1153,1.579834,Standard
1154,14.72998,Standard
1155,3.0149198,Standard
1156,1.4175347,Standard
1157,1.6338162,Standard
1158,1.4653863,Standard
1159,1.5381944,Standard
1160,1.11773,Standard
1161,2.0255535,Standard
1162,3.1439617,Standard
1163,0.5474175,Standard
1164,1.2071127,Standard
1165,0.7438965,Standard
1166,1.069146,Standard
1167,3.883572,Standard
1168,2.2531738,Standard
